direction							
1	2243							
1	2731							
1	2360						
1	2520		
1	2476			
1	2548			
1	2696							
1	2644							
1	2883							
1	2863	
1	2913		
1	2884			
1	2712							
1	2908					
1	2864							
1	3814							
1	2833							
1	2870							
1	2814							
1	3376							
1	3160							
1	3104							
1	2983							
1	3014							
1	3172							
1	2948							
1	2854							
1	2850							
1	2886							
1	3145							
1	3061							
1	2962							
1	3301							
1	3251							
1	3108							
1	2867							
1	2973							
1	3189							
1	3124							
1	3057							
1	2986							
1	2882							
1	3236							
1	3302							
1	3295							
1	3008							
1	4004							
1	3529							
1	3333							
1	2923							
1	4080							
1	3099							
1	2686							
1	3092							
1	3246							
1	3888							
1	3321							
1	4386							
1	3426							
1	3284							
1	3514							
1	3667							
1	3628							
1	3669							
1	3401							
1	4107							
1	4025							
1	4031							
1	4338							
1	3951							
1	4338							
1	4382							
1	3485							
1	3099							
1	3104							
1	3206							
1	3767							
1	2923							
1	3076							
1	3958							
1	2823							
1	3423							
1	3830							
1	3035							
1	3041							
1	3140							
1	3300							
1	3467							
1	3194							
1	3510							
1	3143							
1	3178							
1	3672							
1	3362							
1	3160							
1	3021							
1	2943							
1	3061							
1	2888							
1	2986							
1	3161							
1	3274							
1	3233							
1	2932							
1	2718							
1	3274							
1	3483							
1	2915							
1	3716							
1	3974							
1	4299							
1	3638							
1	3994							
1	3174							
1	3243							
1	3270							
1	3433							
1	3383							
1	3033							
1	3046							
1	2871							
1	2920							
1	3175							
1	2682							
1	2445							
1	2584							
1	3305							
1	2575							
1	2531							
1	2636							
1	2800							
1	2816							
1	2725							
1	2537							
1	2801							
1	2583							
1	2474							
1	2489							
1	2576							
1	2772							
1	2624							
1	2669							
1	2510							
1	2619							
1	2643							
1	2796							
1	3008							
1	3659							
1	3610							
1	2794							
1	3593							
1	2740							
1	2749							
1	2929							
1	3041							
1	2901							
1	2600							
1	2954							
1	2784							
1	2605							
1	3209							
1	2966							
1	2736							
1	2702							
1	2762							
1	2790							
1	2574							
1	2858							
1	2719							
1	2754							
1	2724							
1	2556							
1	2858							
1	2882							
1	2728							
1	2941							
1	3052							
1	2936							
1	2852							
1	2709							
1	2712							
1	2642							
1	2528							
1	2995							
1	2754							
1	2959							
1	2672							
1	2831							
1	3018							
1	2850							
1	2769							
1	2672							
1	2750							
1	2626							
1	2760							
1	3109							
1	2846							
1	2619							
1	2546							
1	2762							
1	2785							
1	2904							
1	2945							
1	2936							
1	3026							
1	2560							
1	2938							
1	2909							
1	2991							
1	2944							
1	3176							
1	2798							
1	2917							
1	2676							
1	2686							
1	2688							
1	2857							
1	2946							
1	3158							
1	2841							
1	2756							
1	2690							
1	3024							
1	5946							
1	3134							
1	3092							
1	2813							
1	3876							
1	2927							
1	2944							
1	2797							
1	3048							
1	2950							
1	3645							
1	2962							
1	3042							
1	4659							
1	3624							
1	3180							
1	3186							
1	4296							
1	3886							
1	3060							
1	3229							
1	2959							
1	2868							
1	2951							
1	2827							
1	3178							
1	3012							
1	3137							
1	3137							
1	3061							
1	3172							
1	3283							
1	3128							
1	3246							
1	3166							
1	2956							
1	2980							
1	2989							
1	3224							
1	3133							
1	4914							
1	3701							
1	3413							
1	3205							
1	2920							
1	3233							
1	3765							
1	3291							
1	2697							
1	3180							
1	2944							
1	3561							
1	4205							
1	3202							
1	3283							
1	3522							
1	3030							
1	4732							
1	3285							
1	3388							
1	3375							
1	3073							
1	4217							
1	3156							
1	3102							
1	3279							
1	3078							
1	2887							
1	3277							
1	2516							
1	2838							
1	3469							
1	2615							
1	2566							
1	2399							
1	2380							
1	2550							
1	3459							
1	2688							
1	3366							
1	2633							
1	2533							
1	2725							
1	2499							
1	2642							
1	2480							
1	2876							
1	2627							
1	2671							
1	2638							
1	2820							
1	2774							
1	2769							
1	2745							
1	2901							
1	2783							
1	2422							
1	3399							
1	2690							
1	2510							
1	3951							
1	2503							
1	2612							
1	2858							
1	2932							
1	2785							
1	3030							
1	2752							
1	2828							
1	2747							
1	2530							
1	2863							
1	2752							
1	2663							
1	2637							
1	2834							
1	2635							
1	2612							
1	2814							
1	2729							
1	2796							
1	2870							
1	3886							
1	2886							
1	2598							
1	2822							
1	2685							
1	2674							
1	2739							
1	2597							
1	2765							
1	2610							
1	2483							
1	2873							
1	2671							
1	2656							
1	2557							
1	2653							
1	2495							
1	2609							
1	2740							
1	2637							
1	2582							
1	2635							
1	2769							
1	2723							
1	3212							
1	3156							
1	3057							
1	2640							
1	2771							
1	2888							
1	2711							
1	2917							
1	2934							
1	2663							
1	2837							
1	3307							
1	3121							
1	2876							
1	2671							
1	2928							
1	2988							
1	2883							
1	2723							
1	2698							
1	3049							
1	2765							
1	2812							
1	2921							
1	2843							
1	3018							
1	3156							
1	3140							
1	3214							
1	3131							
1	3069							
1	2915							
1	3116							
1	2831							
1	3141							
1	3065							
1	3271							
1	3422							
1	3271							
1	3181							
1	3262							
1	3132							
1	3206							
1	2945							
1	3113							
1	2898							
1	3162							
1	2781							
1	3278							
1	2995							
1	3228							
1	3079							
1	3328							
1	3138							
1	3451							
1	3126							
1	3367							
1	3157							
1	3007							
1	3215							
1	2867							
1	3369							
1	3420							
1	2936							
1	3413							
1	4309							
1	4063							
1	3441							
1	3468							
1	3621							
1	4842							
1	4775							
1	2988							
1	3030							
1	2793							
1	2778							
1	2680							
1	3103							
1	3059							
1	2741							
1	2504							
1	3694							
1	2457							
1	2535							
1	2443							
1	2706							
1	2625							
1	2866							
1	2381							
1	2562							
1	2626							
1	2462							
1	2562							
1	2387							
1	2473							
1	2565							
1	2716							
1	2641							
1	2687							
1	2756							
1	2917							
1	2830							
1	2729							
1	2894							
1	2984							
1	2780							
1	2529							
1	2511							
1	2941							
1	2808							
1	2991							
1	2831							
1	2913							
1	3592							
1	2702							
1	2822							
1	2655							
1	3036							
1	3623							
1	3609							
1	3749							
1	2986							
1	2707							
1	3543							
1	3665							
1	2872							
1	2645							
1	2732							
1	2886							
1	3040							
1	2957							
1	2866							
1	3062							
1	2779							
1	2766							
1	2522							
1	2892							
1	2980							
1	3058							
1	4045							
1	2800							
1	2997							
1	4067							
1	2769							
1	2758							
1	2732							
1	2831							
1	2554							
1	2611							
1	2720							
1	2840							
1	2742							
1	2408							
1	3658							
1	2296							
1	2391							
1	2476							
1	2716							
1	2482							
1	2545							
1	2599							
1	2766							
1	2616							
1	2477							
1	2560							
1	2715							
1	2536							
1	2706							
1	2608							
1	2670							
1	2472							
1	2695							
1	2628							
1	2703							
1	2683							
1	2841							
1	2624							
1	2508							
1	2395							
1	2740							
1	2475							
1	2734							
1	2785							
1	2753							
1	2615							
1	2778							
1	2533							
1	2655							
1	2643							
1	2671							
1	2917							
1	2776							
1	2837							
1	2774							
1	3050							
1	2841							
1	2887							
1	2639							
1	2853							
1	2616							
1	3013							
1	2797							
1	2635							
1	2881							
1	2590							
1	2320							
1	2778							
1	2625							
1	2438							
1	2608							
1	2912							
1	3633							
1	3110							
1	2815							
1	2633							
1	2799							
1	2818							
1	2711							
1	3134							
1	2731							
1	2660							
1	2722							
1	3877							
1	2783							
1	2703							
1	2565							
1	2971							
1	2874							
1	2697							
1	2676							
1	2471							
1	2873							
1	2815							
1	2691							
1	2892							
1	3884							
1	2948							
1	2995							
1	3361							
1	3893							
1	3880							
1	4238							
1	3589							
1	3343							
1	3558							
1	3523							
1	3262							
1	2996							
1	2792							
1	3695							
1	3601							
1	3551							
1	3485							
1	3392							
1	3973							
1	4428							
1	4101							
1	3912							
1	4500							
1	3672							
1	3587							
1	3362							
1	3085							
1	3092							
