datetime,time,tem,dew_point,humidity,pressure,wind_dr,wind_sp,condition
2017/1/1,0,17,12,72,1023,0,0,0
2017/1/1,1,16,13,82,1023,0,0,1
2017/1/1,2,17,15,82,1023,1,2,2
2017/1/1,3,16,13,82,1022,1,2,1
2017/1/1,4,16,13,82,1022,2,3,1
2017/1/1,5,17,14,78,1022,1,1,2
2017/1/1,6,15,13,88,1022,3,3,1
2017/1/1,7,16,13,82,1022,1,4,1
2017/1/1,8,18,14,75,1023,4,1,3
2017/1/1,9,19,13,68,1023,2,3,5
2017/1/1,10,21,14,64,1023,2,4,6
2017/1/1,11,21,14,56,1024,5,2,3
2017/1/1,12,23,13,53,1022,6,2,5
2017/1/1,13,21,15,68,1021,7,4,5
2017/1/1,14,23,14,49,1020,3,1,4
2017/1/1,15,21,15,68,1019,9,3,5
2017/1/1,16,21,16,73,1019,10,3,4
2017/1/1,17,21,15,61,1020,11,2,3
2017/1/1,18,20,15,73,1020,9,2,3
2017/1/1,19,20,17,83,1020,11,1,3
2017/1/1,20,19,17,79,1021,0,0,3
2017/1/1,21,18,16,88,1021,12,2,7
2017/1/1,22,19,17,88,1021,11,2,3
2017/1/1,23,18,16,85,1022,1,1,2
2017/1/2,0,19,16,83,1021,11,2,6
2017/1/2,1,17,15,88,1021,13,2,6
2017/1/2,2,18,17,90,1021,0,0,2
2017/1/2,3,17,15,88,1020,12,2,7
2017/1/2,4,17,15,88,1020,0,0,1
2017/1/2,5,17,16,98,1020,14,1,2
2017/1/2,6,17,15,88,1020,3,2,1
2017/1/2,7,17,15,88,1021,1,3,1
2017/1/2,8,17,16,94,1022,4,1,1
2017/1/2,9,19,15,78,1022,1,3,1
2017/1/2,10,21,15,68,1022,1,4,0
2017/1/2,11,23,16,53,1021,15,1,2
2017/1/2,12,25,15,54,1020,1,3,7
2017/1/2,13,23,16,65,1019,7,4,0
2017/1/2,14,25,16,48,1019,11,3,2
2017/1/2,15,24,17,65,1018,9,2,0
2017/1/2,16,22,17,73,1018,11,4,1
2017/1/2,17,23,18,66,1019,11,1,2
2017/1/2,18,20,17,83,1019,12,3,4
2017/1/2,19,20,17,83,1019,11,2,1
2017/1/2,20,20,18,89,1020,11,1,1
2017/1/2,21,18,17,94,1020,12,3,1
2017/1/2,22,18,17,94,1020,12,3,1
2017/1/2,23,19,17,88,1020,0,0,1
2017/1/3,0,18,16,88,1020,12,2,6
2017/1/3,1,18,17,94,1020,11,2,6
2017/1/3,2,18,17,89,1020,4,1,1
2017/1/3,3,18,16,88,1019,5,2,6
2017/1/3,4,19,15,78,1019,2,2,1
2017/1/3,5,18,16,90,1019,14,1,1
2017/1/3,6,18,16,88,1019,6,1,1
2017/1/3,7,19,16,83,1020,2,2,1
2017/1/3,8,18,17,88,1020,2,1,1
2017/1/3,9,21,17,78,1020,1,2,1
2017/1/3,10,23,17,69,1021,10,2,0
2017/1/3,11,23,17,63,1021,2,2,4
2017/1/3,12,22,18,78,1020,9,3,1
2017/1/3,13,22,18,78,1019,8,4,1
2017/1/3,14,24,17,60,1019,5,1,4
2017/1/3,15,22,18,78,1018,11,5,5
2017/1/3,16,22,17,73,1018,10,4,5
2017/1/3,17,23,17,62,1018,15,2,2
2017/1/3,18,20,18,88,1018,10,3,6
2017/1/3,19,20,18,88,1018,11,2,6
2017/1/3,20,20,17,82,1019,2,1,2
2017/1/3,21,20,17,83,1019,16,2,6
2017/1/3,22,20,17,83,1019,13,4,6
2017/1/3,23,19,17,85,1020,3,1,2
2017/1/4,0,19,16,83,1019,13,3,5
2017/1/4,1,19,16,83,1019,13,3,5
2017/1/4,2,19,16,81,1019,1,1,2
2017/1/4,3,19,16,83,1019,13,2,3
2017/1/4,4,18,16,88,1018,13,3,5
2017/1/4,5,18,17,90,1019,2,1,2
2017/1/4,6,18,16,88,1019,16,2,5
2017/1/4,7,18,16,88,1019,2,2,4
2017/1/4,8,18,16,84,1020,2,1,3
2017/1/4,9,20,16,78,1020,6,1,3
2017/1/4,10,22,16,69,1020,2,2,5
2017/1/4,11,23,16,54,1020,5,2,3
2017/1/4,12,22,17,73,1019,7,3,6
2017/1/4,13,23,17,69,1018,8,3,6
2017/1/4,14,25,16,47,1017,5,1,2
2017/1/4,15,23,17,69,1017,10,3,5
2017/1/4,16,22,17,73,1016,11,3,5
2017/1/4,17,24,16,54,1017,0,0,2
2017/1/4,18,20,17,83,1017,11,3,5
2017/1/4,19,20,17,83,1017,10,2,5
2017/1/4,20,21,16,69,1018,1,1,2
2017/1/4,21,19,16,83,1018,0,0,6
2017/1/4,22,20,15,73,1018,0,0,5
2017/1/4,23,19,16,78,1018,1,1,2
2017/1/5,0,20,16,78,1018,12,1,5
